word,freq
's,2099
student,1698
male,1536
female,1525
professor,1327
well,1051
n't,916
like,792
one,687
know,618
would,505
uh,499
really,454
right,445
time,439
could,427
get,408
're,392
class,390
people,387
um,379
think,372
see,353
part,341
``,317
water,316
listen,307
actually,304
've,299
way,295
narrator,292
also,292
different,290
years,280
'll,280
good,278
even,268
first,267
mean,266
'm,265
ok,262
much,257
might,248
lot,246
something,246
let,241
oh,238
back,237
new,236
need,229
make,227
employee,222
used,215
'd,215
another,209
yeah,205
work,203
yes,201
called,201
many,200
lecture,198
sure,197
two,195
look,193
'',192
want,189
earth,188
say,186
take,176
find,173
made,173
things,171
example,170
around,169
thing,168
art,166
today,165
go,162
use,162
pretty,161
great,159
going,158
got,157
still,155
important,155
kind,154
course,152
plants,150
food,149
little,147
maybe,146
species,145
probably,140
us,140
students,139
idea,139
found,137
talk,137
next,132
since,130
long,129
help,126
thought,126
animals,126
light,126
fact,126
said,125
last,121
music,121
research,120
energy,119
plant,117
guess,114
ago,112
point,112
come,112
form,112
play,110
conversation,109
problem,109
soil,109
talking,108
year,107
remember,107
area,107
sun,106
give,105
though,105
able,105
paper,105
may,104
place,103
history,102
exactly,101
call,101
study,101
large,99
always,98
life,98
particular,97
theory,96
number,95
ok.,94
century,94
painting,94
small,93
start,93
book,92
read,92
question,92
tell,92
certain,92
sound,92
looking,91
enough,90
information,90
quite,90
process,90
system,89
away,88
makes,88
animal,88
tree,87
evidence,87
early,87
sort,87
every,85
better,85
ah,84
ancient,84
states,84
story,83
getting,83
university,82
thinking,82
sounds,82
interesting,81
started,81
wanted,80
far,80
left,80
keep,80
big,80
room,79
without,78
means,78
together,77
ca,77
library,76
computer,76
artists,76
end,76
change,75
anything,75
anyway,75
glass,75
show,74
already,73
world,73
major,73
move,72
put,72
came,72
color,72
human,72
less,72
manager,72
surface,71
day,71
na,71
basically,71
whole,71
ice,71
books,71
body,71
done,70
became,70
name,70
birds,69
several,69
usually,69
reading,69
often,69
else,69
group,69
language,69
old,68
sense,68
understand,68
house,68
researchers,67
semester,67
areas,67
climate,67
gets,67
took,66
later,66
true,66
material,66
age,66
everyone,66
trees,66
week,65
second,65
working,65
live,65
trying,64
least,64
source,63
never,63
advisor,63
couple,62
environment,62
period,62
gas,62
air,62
went,61
yet,61
reason,61
land,61
case,61
interested,61
try,61
three,61
classes,61
write,60
works,60
real,60
ocean,60
high,60
united,60
natural,60
okay,60
known,59
lots,59
young,59
colors,59
hi,58
science,58
using,58
someone,58
within,58
theater,58
heard,57
set,57
changes,57
carbon,57
must,56
possible,56
project,56
population,56
type,56
ways,56
temperature,56
night,55
times,55
late,55
happened,55
almost,55
seems,55
solar,55
everything,54
create,54
inside,54
space,54
money,54
grow,54
building,54
questions,54
writing,53
moving,53
field,53
especially,53
city,53
seem,53
rocks,53
bit,53
ones,53
campus,53
parts,53
children,53
waves,53
sometimes,52
amount,52
based,52
design,52
moon,52
summer,52
film,52
become,51
hard,51
matter,51
effect,51
artist,51
europe,51
paintings,50
rock,50
librarian,50
department,50
eat,50
heat,50
others,49
literature,49
style,49
words,49
hand,49
school,49
popular,48
along,48
objects,48
job,48
specific,48
happens,48
ask,48
wind,48
main,47
thanks,47
biology,47
cause,47
fish,47
explain,47
size,47
smaller,47
hypothesis,47
topic,46
comes,46
short,46
wood,46
saying,46
anyone,46
development,46
best,46
winter,46
seen,46
making,46
low,46
leaves,46
ground,46
looks,45
eventually,45
types,45
clear,45
common,45
taking,45
term,44
habitat,44
created,44
audience,44
forest,44
radio,44
center,44
discovered,44
past,43
special,43
ever,43
taken,43
coming,43
gon,43
instead,43
earlier,43
looked,43
element,43
side,43
cells,43
cod,43
order,42
dance,42
red,42
definitely,42
cold,42
director,42
service,42
materials,41
check,41
near,41
head,41
hours,41
sorry,41
original,41
days,41
learn,41
needs,41
figure,41
studying,41
key,41
places,41
person,41
site,41
planet,41
humans,41
either,40
generally,40
kinds,40
deep,40
mind,40
discussing,40
weeks,40
layer,40
outside,40
open,40
atmosphere,40
produce,40
north,40
knowledge,40
consider,40
chemical,40
word,39
studies,39
shows,39
home,39
beginning,39
lived,39
developed,39
stone,39
walls,39
needed,39
middle,39
ideas,39
organic,39
focus,39
list,39
local,38
huge,38
data,38
believe,38
turns,38
began,38
pieces,38
government,38
experience,38
shape,38
lead,38
program,38
river,38
america,38
written,38
easy,38
american,38
courses,38
oil,38
value,37
organisms,37
simple,37
behavior,37
answer,37
happen,37
similar,37
support,37
elements,37
greek,37
south,37
living,37
article,37
result,37
planets,37
characters,37
stars,36
stuff,36
conditions,36
imagine,36
paint,36
million,36
single,36
business,36
close,36
pressure,36
--,36
changed,35
rather,35
goes,35
says,35
quickly,35
nothing,35
slowly,35
wait,35
five,35
increased,35
copper,35
salt,35
hundred,34
lakes,34
designed,34
growth,34
systems,34
lost,34
strong,34
general,34
roman,34
painted,34
plan,34
movement,34
cycle,34
white,34
individual,34
hot,34
tea,34
trip,33
john,33
top,33
model,33
whatever,33
built,33
public,33
environmental,33
simply,33
rain,33
office,33
modern,33
french,33
survive,33
difficult,33
teaching,33
lab,33
worked,32
longer,32
takes,32
certainly,32
cut,32
subject,32
instance,32
piece,32
recently,32
scientists,32
impact,32
considered,32
level,32
stage,32
related,32
pause,32
mentioned,32
desert,32
however,32
formed,32
travel,32
community,32
attention,31
turn,31
various,31
experiment,31
hold,31
involved,31
discussion,31
plus,31
percent,31
solid,31
available,31
whether,31
arts,31
product,31
family,31
bring,31
bird,31
rivers,31
activities,31
across,31
saw,30
region,30
hear,30
pay,30
screen,30
caused,30
growing,30
technology,30
feel,30
complex,30
cool,30
difference,30
supposed,30
problems,30
lower,30
larger,30
social,30
hmm,30
astronomy,30
car,30
customers,30
country,30
details,30
fair,29
assignment,29
potential,29
structure,29
renaissance,29
soon,29
buy,29
faculty,29
chance,29
plays,29
break,29
musical,29
flow,29
lives,29
rate,29
floor,29
clouds,29
forms,29
marketing,29
tiny,28
behind,28
completely,28
hall,28
i-i,28
leave,28
dating,28
equipment,28
begin,28
provide,28
spread,28
meant,28
active,28
temperatures,28
wondering,28
bacteria,28
production,28
housing,28
basic,28
relatively,28
dna,28
according,28
wan,28
view,28
object,28
political,28
easily,28
snow,28
four,27
picture,27
physical,27
section,27
oxygen,27
wo,27
expensive,27
stories,27
crops,27
perhaps,27
pyramid,27
famous,27
throughout,27
love,27
mostly,27
child,27
familiar,27
minerals,27
approach,27
location,27
tulips,27
glad,26
er,26
sunlight,26
stay,26
third,26
warm,26
ability,26
meet,26
structures,26
include,26
traditional,26
instrument,26
performance,26
spots,26
recent,26
face,26
wrong,26
fossil,26
given,26
companies,26
months,26
houses,26
full,26
folk,26
month,26
columbus,26
galaxies,26
migration,25
toward,25
feed,25
eyes,25
although,25
professors,25
turned,25
society,25
likely,25
base,25
european,25
review,25
mass,25
flowers,25
interrupting,25
star,25
stop,25
culture,25
spend,25
background,25
pass,25
cover,25
english,25
hope,25
activity,25
bark,25
cave,25
unique,24
suppose,24
variety,24
role,24
results,24
indicate,24
seemed,24
effects,24
copies,24
tried,24
composition,24
nature,24
specifically,24
surprised,24
discuss,24
native,24
fall,24
named,24
state,24
sources,24
assume,24
streams,24
faster,24
meaning,24
women,24
learned,24
seeing,24
fast,24
lines,24
tales,24
layers,24
expect,24
volcanoes,24
company,24
character,24
opera,24
phosphorus,24
depending,23
reasons,23
pick,23
wow,23
nest,23
suggests,23
remains,23
grew,23
technique,23
talked,23
increase,23
sell,23
western,23
extremely,23
waste,23
liquid,23
particles,23
evolution,23
characteristics,23
jazz,23
piano,23
c.,23
fit,23
develop,23
lake,23
ants,23
affect,23
graduate,23
tone,23
starts,23
roots,23
moved,23
spices,23
cape,23
morning,22
particularly,22
sea,22
whales,22
closer,22
range,22
clearly,22
half,22
schedule,22
physics,22
numbers,22
magnetic,22
central,22
creating,22
believed,22
primary,22
amazing,22
power,22
fine,22
spot,22
kilometers,22
mention,22
samples,22
poetry,22
extra,22
thousands,22
successful,22
flower,22
showed,22
market,22
blue,22
rooms,22
gardens,22
fewer,22
dioxide,22
wrote,22
woman,22
pattern,22
unlike,22
sign,22
concert,22
finding,22
thousand,22
analysis,22
watch,22
snakes,22
accretion,22
ten,21
predators,21
beautiful,21
free,21
kinda,21
hoping,21
y'know,21
image,21
determine,21
identify,21
events,21
interest,21
crust,21
rise,21
density,21
spring,21
solution,21
phase,21
musicians,21
basin,21
rings,21
radiation,21
purpose,21
born,21
situation,21
deal,21
significant,21
slightly,21
windows,21
club,21
regular,21
private,21
photography,21
mars,21
formation,21
speed,21
notes,21
gave,21
islands,21
egyptian,21
brain,21
audubon,21
agricultural,21
career,21
wetlands,21
languages,21
beavers,21
exist,20
theories,20
response,20
describe,20
styles,20
trade,20
