word,freq
water,343
's,292
one,264
species,251
may,250
many,231
also,223
years,221
new,205
plants,181
would,178
first,177
``,176
time,171
could,160
much,157
even,153
animals,153
large,147
population,145
'',144
century,141
people,141
land,141
however,139
made,128
surface,128
earth,120
two,115
areas,114
found,113
early,109
small,104
form,104
ice,101
great,100
food,100
life,98
used,96
different,96
important,94
world,93
period,93
became,92
long,92
evidence,91
example,91
like,91
high,90
soil,90
use,87
well,86
million,86
plant,86
area,85
often,85
less,83
known,81
sea,81
rock,79
another,77
thus,76
growth,76
changes,76
forest,74
number,74
ago,73
sun,73
heat,72
trade,72
called,71
around,71
way,70
north,70
part,69
temperature,69
probably,68
change,68
far,68
become,66
system,65
major,65
natural,65
several,65
since,65
animal,65
within,64
among,64
human,64
energy,64
region,63
forms,63
oil,63
organisms,62
conditions,62
body,61
development,61
elements,60
might,60
along,60
light,60
ground,60
must,60
make,59
states,59
later,59
groups,59
south,59
modern,59
without,58
percent,57
relatively,57
produce,57
art,57
city,56
cities,56
air,56
mass,55
trees,55
began,55
usually,55
increased,54
times,53
europe,53
result,53
children,53
level,53
populations,53
although,52
common,52
east,52
place,52
process,52
age,52
sediment,52
though,51
greater,51
little,51
rocks,51
local,50
social,50
material,50
living,49
still,49
rather,49
production,49
increase,49
crops,49
factors,49
temperatures,49
year,49
ancient,49
likely,48
atmosphere,48
enough,48
end,48
carbon,47
possible,47
dry,47
iron,47
activity,47
river,47
work,47
roman,47
particular,47
deer,47
produced,46
late,46
control,46
provide,46
low,46
pacific,46
making,45
almost,45
organic,45
three,45
america,45
past,45
environment,45
birds,45
came,44
especially,44
climate,44
growing,44
therefore,44
effect,44
size,44
space,43
formed,43
agricultural,43
higher,43
united,43
developed,43
able,43
ocean,43
back,43
near,42
central,42
american,42
impact,42
group,42
farmers,42
perhaps,42
agriculture,42
history,42
clay,42
kilometers,42
fact,42
materials,42
western,41
difficult,41
last,41
lake,41
throughout,40
complex,40
longer,40
left,40
led,40
parts,40
structure,40
power,40
southern,40
nest,40
paintings,40
occur,39
levels,39
lower,39
pollen,39
events,39
solar,38
least,38
matter,38
significant,38
rise,38
regions,38
rapidly,38
spread,38
community,38
stream,38
support,38
today,38
soils,38
deep,38
islands,38
island,38
amount,37
source,37
larger,37
certain,37
individual,37
meters,37
know,37
planets,37
stone,37
periods,37
means,36
oceans,36
brought,36
gas,36
steam,36
took,36
particularly,36
second,36
eastern,36
middle,36
dioxide,36
fossil,36
individuals,36
rain,36
remains,36
dinosaurs,36
extinction,36
marine,36
tropical,36
systems,35
similar,35
west,35
seeds,35
seems,35
urban,35
eventually,35
order,35
vegetation,35
particles,35
sometimes,35
state,35
tree,35
desert,35
africa,35
single,35
move,34
across,34
point,34
britain,34
numbers,34
type,34
physical,34
per,34
evolution,34
coast,34
needed,33
economic,33
rates,33
study,33
various,33
oxygen,33
thousands,33
play,33
sites,33
present,32
lakes,32
forests,32
increasing,32
communities,32
together,32
recent,32
rate,32
sound,32
venus,32
site,32
others,32
always,31
either,31
simple,31
writing,31
toward,31
theory,31
ants,31
close,31
flow,31
generally,31
potential,31
groundwater,31
based,30
planet,30
available,30
easily,30
northern,30
industrial,30
wind,30
types,30
role,30
caused,30
primary,30
simply,30
greek,30
set,29
chemical,29
contain,29
third,29
away,29
snow,29
grain,29
rapid,29
given,29
goods,29
breathing,29
ability,29
insects,29
created,29
evolved,29
range,29
older,29
scientists,28
every,28
sense,28
variety,28
ways,28
turn,28
moving,28
vast,28
supply,28
develop,28
yawning,28
occurred,28
us,28
commercial,28
surrounding,28
day,28
leaves,28
idea,28
mediterranean,28
earlier,28
deposits,28
society,28
fossils,28
studies,27
involved,27
rivers,27
winter,27
england,27
open,27
societies,27
internal,27
cloud,27
upper,27
fall,27
best,27
cattle,27
predators,27
table,27
required,27
thought,27
extinct,27
b.c.,27
addition,27
images,27
competition,27
old,26
relative,26
tend,26
techniques,26
half,26
expansion,26
factor,26
including,26
field,26
include,26
economy,26
exchange,26
clear,26
view,26
asia,26
terrestrial,26
show,26
need,26
farming,26
diversity,26
centuries,26
sediments,26
channels,26
abundant,26
paper,26
mammals,26
products,25
find,25
effects,25
research,25
lived,25
succession,25
volcanic,25
fire,25
finally,25
outside,25
young,25
british,25
fish,25
movement,25
introduced,25
cases,25
structures,25
observed,25
mars,25
volcanoes,25
humans,25
occurs,25
rainfall,25
layers,25
architecture,25
stars,24
heavy,24
nearly,24
yet,24
huge,24
pressure,24
additional,24
resources,24
appear,24
good,24
feed,24
provided,24
charged,24
suggested,24
nutrients,24
hundreds,24
problem,24
whose,24
landscape,24
religious,24
instead,24
record,24
covered,24
features,24
zone,24
pottery,24
prey,24
gradually,23
built,23
building,23
allowed,23
thick,23
reduced,23
nineteenth,23
cause,23
remained,23
australia,23
grew,23
case,23
ecosystem,23
behavior,23
government,23
beginning,23
selection,23
contrast,23
seen,23
glaciers,23
minerals,23
earliest,23
layer,23
climatic,23
influence,23
b.c,23
question,23
environmental,23
infant,23
artists,23
image,23
survive,23
presence,22
solid,22
remain,22
formation,22
kinds,22
warm,22
railroads,22
help,22
moved,22
pattern,22
rural,22
soon,22
true,22
live,22
stability,22
smaller,22
take,22
metal,22
function,22
researchers,22
data,22
four,22
industry,22
gave,22
bacteria,22
seem,22
depends,22
members,22
create,22
discovered,22
geologic,22
cycle,22
hard,22
waters,22
hypothesis,22
original,22
limited,22
cells,21
nature,21
element,21
liquid,21
hand,21
tools,21
extensive,21
streams,21
keep,21
whole,21
continued,21
put,21
indeed,21
according,21
come,21
biological,21
suggests,21
decades,21
success,21
survival,21
apparently,21
visual,21
active,21
right,21
records,21
dark,21
taken,21
practice,21
algae,21
replaced,21
buildings,21
hot,21
salt,21
objects,20
suggest,20
surfaces,20
strong,20
next,20
behind,20
seventeenth,20
lands,20
quickly,20
european,20
speed,20
grow,20
composition,20
general,20
highly,20
primarily,20
recorded,20
rome,20
explanation,20
cold,20
sleep,20
market,20
exist,20
appearance,20
direct,20
largest,20
50,20
regular,20
lost,20
sand,20
grains,20
cultural,20
increases,20
preserved,20
